zodiac,question,card1,card2,card3,reading,category,question_sentiment,reading_sentiment
Leo,How can I invite more romance into my life?,Five of Cups,Eight of Swords,The Fool,"Reading:  Leo, the Five of Cups shows you dwelling on past disappointments. The Eight of Swords suggests you're feeling trapped by your own thoughts.  The Fool encourages you to take a leap of faith and try something new.  Embrace new experiences with an open heart.",love,POSITIVE,POSITIVE
Aquarius,Am I sabotaging my relationships unknowingly?,The Chariot,Strength,Eight of Cups,"Reading:  Aquarius, you're in control (The Chariot) and have inner resilience (Strength), but you're walking away from emotional fulfillment (Eight of Cups).  You may be prioritizing independence over connection.  Examine your emotional needs to foster stronger relationships.",love,NEGATIVE,NEGATIVE
Aquarius,What do I need to work on before loving again?,The Magician,Seven of Cups,King of Pentacles,"Reading:  Aquarius, you have all the tools (The Magician) but need to focus on what truly matters (Seven of Cups). Ground yourself in practicality (King of Pentacles) before opening your heart.  Focus on your goals and values.",love,NEGATIVE,POSITIVE
Aquarius,Will we get back together?,The Fool,Ten of Wands,Six of Swords,"Reading:  The Fool suggests a fresh start, but the Ten of Wands implies you're carrying baggage. The Six of Swords indicates moving on, likely separately.  It's time to lighten your load and embrace the unknown.",love,NEGATIVE,NEGATIVE
Virgo,What qualities should I look for in a partner?,Nine of Cups,King of Pentacles,The World,"Reading:  Virgo, your ideal partner offers emotional fulfillment (Nine of Cups), stability and practicality (King of Pentacles), and a sense of wholeness (The World).  They'll be dependable and help you feel complete. Look for someone grounded who also shares your desire for deep satisfaction.",love,POSITIVE,POSITIVE
Virgo,Am I ready for a new relationship?,Eight of Wands,King of Cups,The Emperor,"Reading:  The Eight of Wands suggests things are moving quickly, and the King of Cups signals emotional maturity.  The Emperor shows you're in control and ready for commitment.  Think about what you want and go for it.",love,NEGATIVE,POSITIVE
Capricorn,What do I need to work on before loving again?,Four of Swords,Three of Pentacles,The High Priestess,"Capricorn, the Four of Swords suggests you need rest and reflection before opening your heart.  The Three of Pentacles points to building self-sufficiency and confidence. The High Priestess encourages trusting your intuition. Take time to heal and trust yourself.",love,NEGATIVE,POSITIVE
Sagittarius,Is now a good time to open up emotionally?,Seven of Cups,Strength,Four of Pentacles,"Sagittarius, your options seem overwhelming (Seven of Cups), but you have the inner strength to handle vulnerability (Strength).  Holding back might feel safe right now (Four of Pentacles).  Choose carefully what you share and with whom.",love,POSITIVE,POSITIVE
Capricorn,Is it love or attachment that I'm feeling?,The Moon,Five of Wands,Ten of Wands,"Reading:  Capricorn, The Moon suggests confusion around your feelings, while the Five and Ten of Wands indicate conflict and burden.  You might be clinging to something familiar rather than embracing genuine connection.  Consider what truly brings you peace.",love,POSITIVE,POSITIVE
Cancer,How can I invite more romance into my life?,Nine of Wands,Page of Swords,The High Priestess,"Reading:  Cancer, you've been guarded (Nine of Wands), but be open to new ideas and communication (Page of Swords). Trust your intuition about potential partners (The High Priestess).  Don't be afraid to put yourself out there.",love,POSITIVE,POSITIVE
Scorpio,What is my heart truly longing for?,The Star,The Empress,Page of Pentacles,"Reading:  Scorpio, your heart seeks hope and nurturing, like fresh inspiration (The Star) combined with maternal comfort (The Empress). You also crave grounded new beginnings, perhaps a practical skill or creative project (Page of Pentacles).  Focus on self-care and explore new earthly passions.",love,POSITIVE,POSITIVE
Gemini,How can I create a healthy relationship?,Nine of Cups,Two of Swords,King of Pentacles,"Reading:  Gemini, the Nine of Cups shows you already have a lot to offer.  The Two of Swords suggests you need clearer communication and boundaries. The King of Pentacles encourages practical steps and stability. Focus on honest conversations and build trust slowly.",love,NEGATIVE,POSITIVE
Virgo,What is the next step in our relationship?,Nine of Wands,Nine of Pentacles,The Chariot,"Reading:  Virgo, you've put in the work and are almost there (Nine of Wands). Now enjoy your independence and what you’ve built (Nine of Pentacles). Take control and steer things in the direction you desire (The Chariot).  Keep going; you’re in the driver's seat!",love,POSITIVE,POSITIVE
Taurus,Am I seeing this relationship clearly?,Queen of Pentacles,The Hanged Man,Queen of Wands,"Reading:  Taurus, you're grounded and value stability (Queen of Pentacles), but this situation needs a new perspective (The Hanged Man). Your passionate nature is also at play (Queen of Wands), clouding your judgment a little.  Step back and reassess before acting.",love,POSITIVE,POSITIVE
Scorpio,Why am I afraid of intimacy?,Knight of Swords,Four of Pentacles,Page of Wands,"Reading:  Scorpio, your Knight of Swords shows a fear of vulnerability.  Holding on too tight, as seen in the Four of Pentacles, blocks new connections. The Page of Wands hints at a spark waiting to be nurtured.  Open yourself to possibilities.",love,NEGATIVE,NEGATIVE
Aries,Is there someone new coming into my life?,The Moon,Ten of Pentacles,Knight of Swords,"Reading:  The Moon suggests some confusion around this, Aries. The Ten of Pentacles hints at established stability, possibly not conducive to new connections right now.  The Knight of Swords shows a swift change or decision may be coming.  Think about what you truly want before acting impulsively.",love,NEGATIVE,POSITIVE
Aries,Will my long-distance relationship work out?,Seven of Pentacles,Ten of Swords,Two of Cups,"Reading:  The Seven of Pentacles suggests you're putting in the work, but the Ten of Swords shows this situation is painful.  The Two of Cups offers a glimmer of hope for connection.  Focus on open communication to nurture your bond.",love,NEGATIVE,POSITIVE
Taurus,Will my long-distance relationship work out?,Four of Cups,Six of Wands,Temperance,"Taurus, you seem bored with your current situation, but success is possible with some effort.  Balancing your needs and your partner's is key right now. Focus on open communication to bridge the distance.",love,NEGATIVE,POSITIVE
Leo,What kind of love do I deserve?,The Magician,Queen of Wands,Four of Pentacles,"Reading:  Leo, you deserve a love where you feel empowered and admired (The Magician, Queen of Wands).  It may require some effort to maintain, but the stability will be worth it (Four of Pentacles). Focus on building a secure foundation for your affections.",love,POSITIVE,POSITIVE
Cancer,Am I in a twin flame relationship?,The High Priestess,Nine of Pentacles,Temperance,Reading:  The High Priestess suggests deep intuition; trust your inner voice on this.  The Nine of Pentacles and Temperance indicate independence and balance are key right now.  Focus on self-love and personal growth first.,love,NEGATIVE,POSITIVE
Cancer,Why do I keep attracting the wrong people?,The Emperor,Seven of Wands,Four of Wands,"Reading:  Cancer, you're setting strong boundaries (Emperor) but still defending yourself (Seven of Wands) instead of enjoying secure connections (Four of Wands).  You might be prioritizing control over vulnerability.  Try opening up more.",love,NEGATIVE,NEGATIVE
Virgo,What is the lesson from my past relationships?,Eight of Cups,Five of Swords,Four of Swords,"Reading:  The Eight and Five of Swords show you've walked away from unhealthy dynamics, even if it hurt.  The Four of Swords suggests you need time to process these experiences.  Learn to prioritize your well-being and emotional needs.",love,NEGATIVE,NEGATIVE
Taurus,What is blocking me from finding love?,The Star,Eight of Cups,Nine of Cups,"Reading:  The Star shows you have hope and optimism, but the Eight of Cups suggests you're walking away from something unfulfilling. The Nine of Cups indicates your desires are within reach; you just need to open yourself to new experiences.  Let go of the past to embrace your future happiness.",love,NEGATIVE,POSITIVE
Pisces,What is the deeper meaning of our connection?,Five of Pentacles,Ten of Cups,Nine of Cups,"Reading:  This connection may have felt isolating or lacking at times (Five of Pentacles).  It has the potential for emotional fulfillment and family-like bonds (Ten of Cups). Ultimately, your own emotional satisfaction within it is key (Nine of Cups).  Focus on your needs to make this connection work for *you*.",love,POSITIVE,POSITIVE
Cancer,What qualities should I look for in a partner?,King of Swords,Ten of Pentacles,Six of Cups,"Reading:  For you, Cancer, look for intellectual clarity (King of Swords) combined with stability and family values (Ten of Pentacles).  A shared history or sense of nostalgia (Six of Cups) is also important.  Prioritize partners who offer a blend of mental stimulation, security, and emotional connection.",love,POSITIVE,POSITIVE
Capricorn,Is there a karmic lesson in this relationship?,Two of Swords,The Hierophant,Ace of Wands,Reading:  The Two of Swords suggests a stalemate where you're avoiding a difficult truth. The Hierophant and Ace of Wands point to embracing traditional structures and new beginnings.  Accept the lessons from this relationship and move forward.,love,NEGATIVE,POSITIVE
Pisces,What can I do to attract love into my life?,Queen of Swords,Ten of Swords,Queen of Cups,"Reading:  Pisces, the Queen of Swords suggests setting clear boundaries.  The Ten of Swords shows a need to release past hurts. The Queen of Cups invites you to embrace your emotional depth. Be open and honest with yourself and others.",love,POSITIVE,POSITIVE
